domain,bias_score,factually_questionable_flag,propaganda_flag,conspiracy_flag,hate_group_flag,satire_flag
americarisingpac.org,2,0,0,0,0,0
americasfreedomfighters.com,3,1,1,0,0,0
americasnewssource.com,3,1,0,0,0,0
americasquarterly.org,1,0,0,0,0,0
americatalks.com,3,1,0,0,0,0
amgreatness.com,2,0,0,0,0,0
amimagazine.org,2,0,0,0,0,0
amityunderground.com,-3,1,0,0,0,0
ammoland.com,2,0,0,0,0,0
amnesty.org,-1,0,0,0,0,0
amny.com,-1,0,0,0,0,0
amren.com,3,1,1,0,1,0
amsterdamnews.com,-2,0,0,0,0,0
amtvmedia.com,3,1,0,1,0,0
analyzingamerica.org,3,1,0,0,0,0
ancient-code.com,NaN,1,0,1,0,0
ancient-origins.net,NaN,1,0,1,0,0
angrypatriotmovement.com,3,1,0,0,0,0
angrywhitemen.org,-2,0,0,0,0,0
angusreid.org,1,0,0,0,0,0
anh-usa.org,NaN,1,0,1,0,0
aninews.in,1,0,0,0,0,0
annistonstar.com,-1,0,0,0,0,0
anonews.co,-3,1,0,0,0,0
anonjekloy.tk,NaN,1,0,1,0,0
ansa.it,0,0,0,0,0,0
answersingenesis.org,NaN,1,0,1,0,0
anthropocenemagazine.org,-1,0,0,0,0,0
antifascistnews.net,-2,0,0,0,0,0
antiwar.com,1,0,0,0,0,0
anx.media,-2,0,0,0,0,0
aol.com,-1,0,0,0,0,0
apa.org,0,0,0,0,0,0
apmreports.org,-1,0,0,0,0,0
apnews.com,0,0,0,0,0,0
apost.com,NaN,1,0,1,0,0
app.com,-1,0,0,0,0,0
aps.org,0,0,0,0,0,0
apsa.org,0,0,0,0,0,0
aquinas.edu,-2,0,0,0,0,0
arabnews.com,3,1,0,0,0,0
aranews.net,-1,0,0,0,0,0
arcamax.com,1,0,0,0,0,0
arcdigital.media,0,0,0,0,0,0
archaeology-world.com,NaN,1,0,0,0,0
archaeology.org,0,0,0,0,0,0
areomagazine.com,-1,0,0,0,0,0
argusleader.com,1,0,0,0,0,0
arizonadailyindependent.com,2,0,0,0,0,0
arkansasonline.com,0,0,0,0,0,0
arktimes.com,-1,0,0,0,0,0
armscontrol.org,-1,0,0,0,0,0
armstrongeconomics.com,2,0,0,0,0,0
armytimes.com,0,0,0,0,0,0
arstechnica.com,0,0,0,0,0,0
asahi.com,-1,0,0,0,0,0
asia-pacificresearch.com,NaN,1,0,1,0,0
asia.nikkei.com,1,0,0,0,0,0
